Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet,Price
meal_id14,"NutriPower Bharta Bowl",gravy,"Roasted Eggplant (Brinjal),Spinach,Tomatoes,Bell Peppers,Onions,Olive Oil (for roasting)",veg,vitamin_e, anemia cancer heart_disease kidney_disease obesity diabeties, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet,585
meal_id15,Palak Quinoa Bhel,poha,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet vegan_diet low_fat_diet high_fiber_diet,445
meal_id16,almond and raw banana galawat,banana,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, anemia hypertension cancer scurvy heart_disease kidney_disease diabeties, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,395
meal_id17,baked namakpara with roasted almond dip,dip,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",veg,calcium, goitre hypertension kidney_disease, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,425
meal_id18,grilled almond barfi (sugar free),barfi,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,645
meal_id19,Almond Date Delight,dessert,"Almonds,Dates (natural sweetener, fiber),Cardamom powder,Saffron,A touch of coconut milk or yogurt,Garnish with pistachios",veg,carbohydrates, diabeties goitre, alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet,325
meal_id20,baked multigrain murukku,baked,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",veg,iron, goitre, low_sodium_diet vegan_diet low_fat_diet high_fiber_diet,635
meal_id21,apple rabdi,rabdi,"apples, milk, sugar, green cardamoms, almonds (blanched), pistachios (blanched)",veg,calcium, obesity diabeties, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,335
meal_id22,baked namak para,baked,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_protien_diet low_fat_diet high_fiber_diet,610
meal_id23,dates and nuts ladoo,ladoo,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, anemia cancer heart_disease kidney_disease obesity diabeties, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,420
meal_id24,green lentil dessert fudge,dessert,"whole moong beans, cow ghee, raisins, whole milk, jaggery (organic), ground cardamom, almonds (halved)",veg,calcium, anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,210
meal_id25,cashew nut cookies,cookie,"cashew paste, ghee, khaand (a sweetening agent and a healthier substitute of sugar), flax or chia seeds, plain yogurt, baking soda, baking powder, vanilla, oats, organic all-purpose flour",veg,protien, hypertension, high_protien_diet vegan_diet dash_diet ketogenic_diet,655
meal_id26,almond pearls,almond,"toasted almonds, blueberries, oats, corn flakes, olive oil, salt, curry leaves, mustard seeds, cumin seeds, red chilli powder, turmeric powder, black pepper powder, ajwain, lemon juice",veg,protien, hypertension, gluten_free_diet,550
meal_id27,NutriVeg Delight,salad,"papaya, fresh lime (juiced), watermelon balls or small squares (seedless), fresh pineapple chunks, coconut (unsweetened), vanilla flavoured yogurt (low fat)",veg,fiber, obesity scurvy hypertension goitre, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,245
meal_id28,Fiesta Curry,curry,"Assorted vegetables,Chickpeas or black beans for protein,Garlic and ginger for added flavor,Serve over a bed of brown rice",veg,fiber, hypertension scurvy heart_disease goitre kidney_disease obesity, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,655
meal_id29,spinach and feta crepes,spinach,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",veg,vitamin_c, anemia scurvy goitre kidney_disease, dash_diet high_fiber_diet type_a_diet ketogenic_diet,245
meal_id30,Spinach and Lentil Stew,lentils,"Spinach,Lentils,Tomatoes,Garlic,Mustard Oil,Turmeric",veg,chloride, anemia pregnancy hypertension cancer scurvy heart_disease eye_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,220
meal_id31,baked almond kofta,kofta,"potato (boiled), nutmeg, milk, almonds (crushed), green onions, refined flour, egg, salt, pepper, eggs, refined flour (for rolling), dried breadcrumbs (for rolling)",veg,calcium, goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,610
meal_id32,almond ladoo,ladoo,"popped amaranth seeds, jaggery, almonds (slivered, unpeeled)",veg,calcium, hypertension, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,685
meal_id33,Saag Paneer,gravy,"Spinach (palak),Paneer,Mustard oil ,Cumin seeds,Green chilies,Salt to taste",veg,sodium, obesity scurvy hypertension, alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet,420
meal_id28,Kitchari,salad,"Rice,lentils,salt,potatoes,mix veg,ghee/oil,turmeric",veg,fiber, hypertension scurvy heart_disease goitre kidney_disease obesity, low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,220
meal_id24,Vegetable Pulao,dessert,"basmati rice,mixed vegetables,oil,turmeric ,cloves,cashew,cardamom,salt to taste",veg,iron, anemia hypertension scurvy heart_disease goitre kidney_disease pregnancy diabeties, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet dash_diet,625
meal_id34,Sprouts Salad,salad,"mung beans,chopped veggies,cilantro,lemons and dressings",veg,selenium, diabeties hypertension, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,325
meal_id35,banana walnut smoothie,smoothie,"Banana,walnut,liquid,sweetener,spices,greens",veg,selenium, hypertension, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet,235
meal_id36,Quinoa Salad with Grilled Vegetables,Salad,"Quinoa (1 cup, cooked), Assorted vegetables (e.g., bell peppers, zucchini, cherry tomatoes) - 2 cups, Olive oil - 2 tablespoons, Garlic (minced) - 2 cloves, Lemon juice - 2 tablespoons, Fresh parsley (chopped) - 2 tablespoons, Salt (to taste), Black pepper (to taste)",veg,sodium, obesity, alkaline_diet,225
meal_id37,red rice poha,poha,"rice,tomatoes,green veggies,oil,salt,sauce for dressing",veg,carbohydrates, anemia pregnancy cancer scurvy kidney_disease obesity diabeties, alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,275
meal_id38,Vegetable Lentil Soup,soup,"vegetable broth,chopped tomato,brown lentils (rinsed),Chopped fresh cilantro, chopped onion",veg,fiber, hypertension goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,545
meal_id39,sweet potato and quinoa bowl,potato,"sweet potatao,coconut,quinoa,salt,dressing,chopped vegetables",veg,protien, hypertension scurvy goitre kidney_disease pregnancy, alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,525
meal_id40,corn and raw mango salad,salad,"corn,onion,raw mangoes,tomatoes,carrots,fresh cilantro",veg,fiber, anemia hypertension cancer scurvy heart_disease goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet high_fiber_diet high_protien_diet,480
meal_id41,oats khichdi,khichdi,"quick oats,water,salt,coriander leaves,spices as per taste,green veggies",veg,protien, hypertension, high_protien_diet dash_diet gluten_free_diet,690
meal_id42,sugar free modak,snacks,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",veg,carbohydrates, pregnancy hypertension cancer heart_disease goitre kidney_disease obesity diabeties, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,210
meal_id43,beetroot modak,snacks,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, vegan_diet low_fat_diet ketogenic_diet,420
meal_id44,Stir-Fried Tofu with Broccoli and Bell Peppers,snacks,"block firm tofu, cornstarch,vegetable broth, soy sauce,bell pepper,Salt and black pepper to taste",veg,iron, cancer, alkaline_diet low_fat_diet vegan_diet high_fiber_diet hormone_diet,645
meal_id45,Minced chicken curry,snacks," skinless chicken breast,olive oil,chopped vegetables (spinach, broccoli, etc.),Salt and black pepper to taste",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,685
meal_id46,steam bunny chicken bao,snacks,"buns, all purpose white flour, dry yeast, sugar, salt, warm water, chicken mince, eggs, soy sauce, sugar, sesame oil, worcestershire sauce, chives, aromat powder",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,335
meal_id47,meat lovers pizza,snacks,"millet flour, tapioca flour, soy milk, garlic powder, baking powder, salt, tomato sauce, mozzarella cheese, prosciutto, pepperoni, chicken salami, salami milano, rosemary, olive oil",non-veg,potassium, anemia pregnancy cancer goitre kidney_disease obesity, type_o_diet low_fat_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,405
meal_id48,almond and chicken momos (without shell),snacks,"chicken mince, garlic, carrots, spring onion, ginger, soya sauce, oyster sauce, sesame oil, pepper powder, egg, almonds (blanched), oil (for greasing)",non-veg,calcium, anemia hypertension rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,415
meal_id49,Vegitable pizza,snacks,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, vegan_diet high_fiber_diet,660
meal_id50,belgian pork chop,snacks,"pork chop, pink pepper corn, green pepper corn, aromatic sauce, salt, black pepper, salted butter, refined oil, red cabbage, bell pepper chop, apricot, onion, red wine, ancho chilli, cayenne pepper, microgreen",veg,iron, pregnancy goitre, low_fat_diet paleo_diet vegan_diet high_fiber_diet high_protien_diet,215
meal_id51,christmas chocolate fudge cookies,cookie,"unsalted butter, brown sugar, chocolate, chocolate chips, eggs, flour, cocoa powder, baking powder",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,530
meal_id6,japanese curry arancini with  barley salsa,snacks,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,690
meal_id7,chocolate nero cookies,cookie,"almonds, eggs, granulated sugar, bittersweet chocolate, unsalted butter, flour, baking powder, castor sugar, icing sugar",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,245
meal_id52,chicken parmigiana with tomato sauce,snacks,"for chicken parmigiana:, chicken breast, egg whole frozen, flour, planko bread crumbs, fresh italian parsley, vegetable oil, solid butter unsalted, tomato sauce, mozzarella cheese, italian parmesan cheese, thyme, for pepperonata:, red pepper, green pepper, yellow pepper, red onion, fresh tomato, butternut squash, garlic, pure olive oil, vegetable oil, black pepper corn (crushed), salt, parsley, for garnishing:, parsley sprig, spinach",non-veg,vitamin_c, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet hormone_diet high_protien_diet type_a_diet,485
meal_id53,chocolate appo,snacks,"rice, coconut, baking powder, vanilla extract, cinnamon powder, brown sugar, unsweetened cocoa powder, salt, chocolate chips, butter",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,340
meal_id12,lemon honey glazed sous vide corn on the cob,snacks,"young corn on the cob, honey, lemon juice, garlic cloves (smashed), celery stalk, chives, carrot, salt, paprika powder, parsley, plastic bag, food thermometer",non-veg,protien, diabeties goitre scurvy, low_fat_diet gluten_free_diet high_fiber_diet high_protien_diet dash_diet,685
meal_id54,sous-vide salmon tikka,snacks,"norwegian salmon, black garlic pickle, butter, butchery bag, smoked yogurt, home made prawn crisp, edible flower, salt",non-veg,calcium, anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,465
meal_id55,filo pizza,snacks,"filo pastry, himalayan salt, black pepper, salted butter, tomato sauce, broccoli, button mushroom, green zucchini, yellow zucchini, capsicum yellow, capsicum green, capsicum red, pizza spice mix, mozzarella cheese",veg,calcium, goitre, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,590
meal_id15,almond and cranberry poha,snacks,"almond flakes, onion, poha, cranberries (frozen/ dried), salt, oil, curry leaves, green chilies, fresh coconut",veg,iron, hypertension, gluten_free_diet vegan_diet low_fat_diet high_fiber_diet,540
meal_id16,almond and raw banana galawat,snacks,"almond slivers, raw banana (boiled), almond paste, cooking cream, refined oil, mace powder, cardamom powder , ginger garlic paste, garam masala powder, red chilli powder, salt, tempura batter",veg,selenium, anemia hypertension cancer scurvy heart_disease kidney_disease diabeties, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,410
meal_id17,baked namakpara with roasted almond dip,snacks,"almonds (crushed), tomato, garlic cloves, basil sprig, lemon, salt, pepper, for namak para:, refined flour, sugar, salt, olive oil, water",veg,calcium, goitre hypertension kidney_disease, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,550
meal_id18,grilled almond barfi (sugar free),snacks,"khoya, sweetener (optional), almonds (crushed)",veg,calcium, goitre hypertension, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,615
meal_id56,chocolate samosa,snacks,"refined flour, desi ghee, black cardamom seeds, chocolate block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,330
meal_id19,baked shankarpali recipe,snacks,"whole wheat flour (atta), refined flour (maida), garlic cloves (crushed), salt, red chilli powder, chaat masala, cumin powder, tomato puree, ghee",veg,carbohydrates, diabeties goitre, alkaline_diet low_fat_diet low_sodium_diet high_fiber_diet high_protien_diet,370
meal_id20,baked multigrain murukku,snacks,"oats, ragi flour (bhakri atta), wheat flour, rice flour, urad dal flour (dry roast and grind the dal to a fine powder), cumin seeds, green chillies, ginger, salt, oil",veg,iron, goitre, low_sodium_diet vegan_diet low_fat_diet high_fiber_diet,395
meal_id22,baked namak para,snacks,"whole wheat flour (atta), refined flour (maida), baking powder, ghee, salt, carom seeds (ajwain)",veg,magnesium, goitre, low_sodium_diet high_protien_diet low_fat_diet high_fiber_diet,695
meal_id23,dates and nuts ladoo,snacks,"dates (pitted), mixed nuts (almonds, cashews, walnuts, pistachios, peanuts), dessicated coconut (optional)",veg,vitamin_e, anemia cancer heart_disease kidney_disease obesity diabeties, alkaline_diet omni_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet gluten_free_diet dash_diet,605
meal_id57,fish with jamun sauce,snacks,"Jamun, sugar, chili, garlic cloves, cumin powder, fish fillet, semolina, salt, spinach",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,520
meal_id58,dahi lasooni chicken,snacks,"Chicken (boneless cubed), cheese, garlic, ginger garlic paste, cilantro, green chili paste, light cream, yogurt, cashew paste, salt, black salt, garam masala, chaat masala",non-veg,iron, anemia rickets goitre kidney_disease pregnancy, low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet,450
meal_id59,pesto fish kebabs,snacks,"King fish inch pieces, red bell pepper inch pieces, basil pesto, white wine vinegar, salt, cooking spray",non-veg,vitamin_a, anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet,610
meal_id60,caramelized sesame smoked almonds,snacks,"Whole almonds, white and black sesame seeds, sugar, rosemary, red chili powder, salt or Himalayan salt",veg,calcium, heart_disease, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,320
meal_id61,crunchy vegetable dal sattu croquettes,dal,"red lentils or masoor dal (half-boiled), potato (grated), carrot, french beans, bread slices, ground chickpea flour (sattu), green chillies, ginger, onions, garlic (minced), salt, sugar, chaat masala, red chilli powder, garam masala, corn flour, besan, bread crumbs for crunchyness, coriander, refined oil (for fryingp)",veg,iron, obesity scurvy kidney_disease heart_disease, low_fat_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet high_protien_diet,530
meal_id42,sugar free modak,modak,"seedless dates, almonds, cashew nuts, walnuts, raisins, dry coconut, poppy seeds, ghee",veg,carbohydrates, pregnancy hypertension cancer heart_disease goitre kidney_disease obesity diabeties, low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet,405
meal_id43,beetroot modak,modak,"gram flour (besan), semolina (rava/sooji), beetroot colour or two oven cooked beetroot paste , water, oil (for frying), for sugar syrup:, sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, hypertension, vegan_diet low_fat_diet ketogenic_diet,340
meal_id62,active charcoal modak,modak,"for modak:, gram flour (besan), semolina (rava/suji), active charcoal, water, oil (for frying), sugar, water, cardamom powder, lemon juice, cashews (kaju)",veg,selenium, obesity diabeties, vegan_diet low_fat_diet ketogenic_diet hormone_diet,315
meal_id63,flax seed and beetroot modak,modak,"rice flour, salt, oil (for greasing), beetroot puree, tossed flax seeds (for topping), fresh coconut, jaggery, poppy seeds, green cardamom powder, nutmeg powder",veg,magnesium, goitre hypertension heart_disease, high_protien_diet vegan_diet high_fiber_diet,420
meal_id1,summer squash salad,salad,"white balsamic vinegar, lemon juice, lemon rind, red chillies, garlic cloves (crushed), olive oil, summer squash (zucchini), sea salt, black pepper, basil leaves",veg,fiber, obesity diabeties hypertension goitre, alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet,490
meal_id64,chocolate prunes gujiyas,chocolate,"for gujiya pastry:, refined flour, ghee, water, salt, for gujiya stuffing:, dark chocolate, prunes, mawa, sugar, cardamom",veg,magnesium, hypertension heart_disease, high_protien_diet high_fiber_diet ketogenic_diet,575
meal_id65,almond &amp; white chocolate gujiya,gujiya,"all-purpose flour, clarified butter (ghee), water, white chocolate, dessicated coconut, green cardamom powder, almond, jaggery",veg,magnesium, anemia hypertension scurvy heart_disease rickets kidney_disease obesity, low_fat_diet omni_diet ketogenic_diet gluten_free_diet high_fiber_diet hormone_diet high_protien_diet,560
meal_id66,betel nut popsicle,sauce,"full cream milk, cream, mascarpone, sugar, paan (crushed), cookie crumble, dark chocolate (melted), caramel sauce",veg,magnesium, hypertension, ketogenic_diet vegan_diet high_fiber_diet high_protien_diet dash_diet,300
meal_id4,tricolour salad,salad,"vinegar, honey/sugar, soy sauce, salt, garlic cloves (minced), chilli pepper (sliced), green papaya, carrot (peeled), cucumbers, mint leaves, toasted peanuts",veg,fiber, obesity goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,545
meal_id49,Rosted vegitable pizza,pizza,"pizza dough (2 boules), red pepper, red onion, basil pesto (purchased, homemade or vegan pesto), mozzarella cheese, kosher salt",veg,chloride, goitre, vegan_diet high_fiber_diet,210
meal_id67,spinach almond salad,salad,"Spinach leaves, almonds, olive oil, lemon juice, salt, black pepper",veg,calcium, obesity eye_disease, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet,210
meal_id68,gajar halwa tart,halwa,"white butter, breakfast sugar, milk full fat, refined flour, winter carrots, ghee, sugar, khoya, cardamom powder, cashew nuts (crushed), almonds (crushed), full fat milk, full fat milk, grain sugar, green cardamom powder",veg,vitamin_d, kidney_disease, low_fat_diet,470
meal_id5,gluten-free christmas cake,cake,"christmas dry fruits (pre-soaked), orange zest, lemon zest, jaggery syrup, almond flour, apple, butter (softened), eggs",veg,vitamin_a, goitre kidney_disease, high_protien_diet,370
meal_id6,japanese curry arancini with  barley salsa,barley,"japanese curry, sticky rice, cheese inside rice, barley salsa, wasabi mayo, red capsicum cube (cut), yellow capsicum cube (cut), green capsicum cube (cut), green chily, barley, butter, white pepper, light soya, salt",veg,calcium, goitre, high_protien_diet vegan_diet low_fat_diet ketogenic_diet,380
meal_id9,cream of almond soup,soup,"vegetable stock, skimmed milk, toasted almonds (powdered), almond flour, salt and pepper, nutmeg, almond essence, toasted almond flakes",veg,calcium, obesity cancer hypertension, alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet,640
meal_id10,broccoli and almond soup,soup,"vegetable stock, broccoli, ground almonds (toasted), skimmed milk, salt, freshly ground black pepper",veg,vitamin_c, pregnancy hypertension scurvy obesity diabeties, alkaline_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet,490
meal_id33,moong dal kiwi coconut soup,soup,"Split green gram boiled with salt, kiwi, coconut cream, oil, bay leaf, cumin, black pepper, garlic cloves, onions, turmeric powder, curry powder, salt, fresh coriander",veg,sodium, obesity scurvy hypertension, alkaline_diet paleo_diet ketogenic_diet high_fiber_diet gluten_free_diet dash_diet,685
meal_id69,banana and maple ice lollies,banana,"Bananas, Greek yogurt, coconut cream, pure maple syrup, coconut",veg,selenium, hypertension, alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet,695
meal_id70,shepherds salad (tamatar-kheera salaad),salad,"1 cucumber peeled and diced, onions, tomatoes, green chili, garlic cloves, parsley, olive oil, lemon juice, salt and black pepper",veg,fiber, obesity goitre hypertension, low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet,290
meal_id71,Chickpea and Vegetable Stir-Fry,Main,"Chickpeas (1 can, drained and rinsed), Mixed vegetables (e.g., bell peppers, broccoli, carrots) - 2 cups, Olive oil - 2 tablespoons, Garlic (minced) - 2 cloves, Ginger (minced) - 1 tablespoon, Soy sauce (low sodium) - 2 tablespoons, Lemon juice - 1 tablespoon, Honey (optional) - 1 teaspoon, Salt (to taste), Black pepper (to taste), Sesame seeds (for garnish)",veg,sodium, obesity, alkaline_diet high_fiber_diet,245
meal_id72,dark night,apple,"whisky, honey, cinnamon, star anise, cloves, green apple",veg,iron, anemia hypertension scurvy heart_disease eye_disease rickets, vegan_diet low_fat_diet high_fiber_diet ketogenic_diet,585
meal_id73,hot chocolate,chocolate,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",veg,magnesium, hypertension cancer scurvy heart_disease goitre, high_protien_diet high_fiber_diet ketogenic_diet,205
meal_id74,slow cooked spiced sangria,sangria,"red wine (merlot / zinfandel), apple cider, honey, orange (zested and juiced), cloves (whole), green cardamom, cinnamon sticks, anise (whole), brandy",veg,iron, anemia pregnancy scurvy heart_disease goitre kidney_disease obesity diabeties, vegan_diet low_fat_diet high_fiber_diet ketogenic_diet,560
